tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
2,0.1,6,1000,300,40,0.0,0.00042865276336669924,2431.3819692134857,9.70064544412065,9.987083125928674,1971924
2,0.25,6,100,20,1,0.25,0.00036346912384033203,217.8635880947113,7.0460611033329315,11.875709068733952,1884587
4,0.01,12,100,300,40,0.0,0.0013649940490722656,21789.390345811844,10.6684075952906,10.759117171467105,15139042
6,0.01,10,250,20,40,0.25,0.0015910863876342773,2371.6923880577087,17.183022243446388,15.640023536955644,50526850
6,0.1,8,100,20,20,0.0,0.001681971549987793,937.5096659660339,4.432316745670937,7.913451297414463,40377701
6,0.1,14,1000,100,40,0.25,0.002364325523376465,9198.492410182953,4.675104981786003,7.339726691991537,71524964
2,0.1,10,1000,20,1,0.1,0.0007276296615600586,246.20326495170593,7.255392848106264,11.172369934317619,3286040
6,0.25,6,250,100,40,0.1,0.001023244857788086,2845.186578989029,4.40612237139874,7.3246160237024736,30298001
4,0.25,14,500,20,1,0.25,0.0017328739166259765,292.5454070568085,0.06228629397188976,14.869842067292266,17760600
6,0.25,10,1000,300,40,0.1,0.0016974925994873047,11655.425232887268,1.904043290636938,6.116271677397011,51050045
4,0.25,8,100,100,40,0.1,0.0011040449142456054,2458.229460000992,6.745805788853901,7.819351849585243,10091673
2,0.1,12,500,100,20,0.1,0.0006197929382324219,1369.5453188419342,8.81909892605805,8.987847574155337,3853006
4,0.01,12,250,20,20,0.0,0.0011868238449096679,1317.496474981308,12.330577934507112,12.305656877184187,15163419
2,0.01,12,750,20,20,0.0,0.0006518840789794921,830.3401727676392,16.279902431057515,15.681823766527081,3899714
2,0.1,6,750,20,1,0.1,0.0003591299057006836,226.24582815170288,9.60250125965331,12.305298485810463,1949894
4,0.25,8,500,300,40,0.0,0.001216554641723633,6009.683866024017,4.72588810850346,6.2418495948642905,10193466
4,0.01,6,750,300,40,0.0,0.0007031679153442383,4365.425915956497,13.07640246410776,13.081407403347106,7682616
2,0.01,10,250,20,40,0.25,0.000545334815979004,1232.2133691310883,26.43711917106201,23.9927123351241,3162288
2,0.1,10,750,20,20,0.0,0.0008141756057739258,787.0382771492004,9.500893875044643,9.845112866822891,3249794
4,0.01,14,500,20,1,0.1,0.0018126726150512694,275.2123601436615,9.01021499820429,13.10473754528495,17826389
2,0.1,6,100,20,1,0.1,0.0003159046173095703,227.81659173965454,10.286342686448206,12.938492265667259,1885023
6,0.1,6,100,20,40,0.1,0.0008372306823730469,1392.7647788524628,7.20066433578193,8.578688010247847,30295725
4,0.01,12,1000,20,20,0.25,0.0012676239013671875,1314.7270078659058,20.081668279373933,18.315707946394962,15420521
6,0.01,8,100,100,1,0.0,0.001261758804321289,333.16009497642517,4.200097577687713,13.521733554153904,40081836
2,0.25,6,750,20,20,0.1,0.00039856433868408204,530.3544721603394,10.299717082812105,10.23659048524949,1950069
2,0.25,14,1000,300,40,0.25,0.0007140874862670898,5295.54874920845,11.851708039130255,11.159980235651664,4601146
2,0.1,14,100,100,20,0.1,0.000721144676208496,1168.5595390796661,9.017249281840972,9.166316112373611,4398479
4,0.1,12,750,100,40,0.0,0.0013842821121215821,21892.99657702446,5.184501484534731,6.659176949545126,15363291
6,0.1,12,250,20,1,0.25,0.0020040035247802734,299.9518918991089,0.00198024162730615,15.729909495576413,60183266
4,0.01,6,750,100,40,0.25,0.000859832763671875,2266.8122460842133,22.47989880501887,20.063676677804402,7682389
2,0.25,10,100,300,20,0.0,0.0006760120391845703,1892.5512981414795,7.375499633753968,8.191348331760421,3141905
4,0.01,6,500,100,20,0.25,0.0008777618408203125,1209.1046600341797,22.04721776402207,19.998775388525534,7646478
2,0.1,12,750,100,20,0.25,0.000625443458557129,1473.5653820037842,14.28539671228074,13.266933538362789,3900030
2,0.1,8,1000,100,1,0.0,0.00044417381286621094,241.0900058746338,6.850517432856012,10.889484756150747,2628867
6,0.01,10,1000,20,20,0.25,0.0017420053482055664,1667.047295331955,16.49063582177992,15.414629180919226,51087199
6,0.1,6,250,20,40,0.25,0.0009815454483032226,1725.3115541934967,10.610108123967112,11.526762364980277,30310923
6,0.1,14,500,100,1,0.0,0.0023623228073120115,477.1563620567322,0.001977372649559872,16.346382769145855,70416529
2,0.01,8,750,300,40,0.25,0.0004509925842285156,3424.5170769691467,25.920092969969026,23.569186118848602,2599959
6,0.01,8,1000,100,20,0.0,0.0013811588287353516,2967.975638151169,9.344742333518344,10.298396485873319,40868456
4,0.01,14,750,300,1,0.1,0.0016893863677978516,524.6192970275879,6.195452324131274,11.769985623896057,17902279
6,0.01,8,500,300,1,0.25,0.0013981103897094727,664.7034687995911,3.4089999566331928,13.281264929787568,40335301
4,0.1,12,1000,20,40,0.0,0.0013067960739135743,3195.441251039505,5.92267094606891,7.457638098086366,15419603
4,0.1,14,250,100,40,0.0,0.0015926599502563477,4713.715078830719,5.00875187033859,6.704251808929103,17690243
2,0.1,10,1000,100,20,0.1,0.0005192995071411133,1513.6748468875885,9.1489596943102,9.294972121584818,3286503
6,0.01,8,1000,20,1,0.25,0.0013482332229614257,320.4586181640625,5.471972558629276,13.843538113301898,40596449
